Method,n,p,c.r,¦Ñ,prob,size,sensitivity,specficity,ReErr,time
COX-ASDAR,200,300,0.25,0.5,0.99,5.98,0.996666667,1,0.218121104,0.69038
LASSO,200,300,0.25,0.5,0,36.34,1,0.896802721,0.221327253,10.23575
ALASSO,200,300,0.25,0.5,0.56,6.94,1,0.996802721,0.241195924,8.54591
SCAD,200,300,0.25,0.5,1,6,1,1,0.279747591,12.36809
MCP,200,300,0.25,0.5,0.97,6.03,1,0.999897959,0.281438775,13.60502
APML0,200,300,0.25,0.5,0.77,6.86,1,0.99707483,0.172403077,0.69258
COX-ASDAR,200,400,0.25,0.5,1,6,1,1,0.215597938,1.36321
LASSO,200,400,0.25,0.5,0,38.1,1,0.918527919,0.233476345,12.54848
ALASSO,200,400,0.25,0.5,0.47,7.19,1,0.996979695,0.243472498,10.82762
SCAD,200,400,0.25,0.5,1,6,1,1,0.279252551,15.39702
MCP,200,400,0.25,0.5,0.98,6.02,1,0.999949239,0.280732286,16.39935
APML0,200,400,0.25,0.5,0.87,6.34,1,0.999137056,0.172347416,0.69344
COX-ASDAR,200,500,0.25,0.5,0.98,5.99,0.996666667,0.999979757,0.225265784,1.95678
LASSO,200,500,0.25,0.5,0,38.86,1,0.933481781,0.24603336,13.43323
ALASSO,200,500,0.25,0.5,0.36,7.61,1,0.996740891,0.264804236,11.88551
SCAD,200,500,0.25,0.5,1,6,1,1,0.286306191,17.37729
MCP,200,500,0.25,0.5,0.98,6.02,1,0.999959514,0.287936868,17.9221
APML0,200,500,0.25,0.5,0.84,6.38,1,0.999230769,0.187912149,0.65182
COX-ASDAR,200,600,0.25,0.5,0.99,5.98,0.996666667,1,0.231255861,2.68127
LASSO,200,600,0.25,0.5,0,43.06,1,0.937609428,0.248808412,14.36677
ALASSO,200,600,0.25,0.5,0.41,7.12,1,0.998114478,0.25803756,13.07994
SCAD,200,600,0.25,0.5,0.99,6.01,1,0.999983165,0.294488088,19.19986
MCP,200,600,0.25,0.5,0.97,6.03,1,0.999949495,0.296067449,19.16788
APML0,200,600,0.25,0.5,0.81,6.51,1,0.999141414,0.204618566,0.62046
COX-ASDAR,200,700,0.25,0.5,0.95,5.84,0.973333333,1,0.248633135,3.43103
LASSO,200,700,0.25,0.5,0,42.1,1,0.947982709,0.265313978,15.20256
ALASSO,200,700,0.25,0.5,0.4,7.43,1,0.997939481,0.253147358,14.18557
SCAD,200,700,0.25,0.5,1,6,1,1,0.28436802,21.06415
MCP,200,700,0.25,0.5,0.98,6.02,1,0.999971182,0.28508611,20.4061
APML0,200,700,0.25,0.5,0.84,6.4,1,0.999423631,0.184469641,0.64531
COX-ASDAR,200,800,0.25,0.5,0.99,6.01,1,0.999987406,0.228052443,3.88588
LASSO,200,800,0.25,0.5,0,42.54,1,0.953979849,0.272186149,15.86889
ALASSO,200,800,0.25,0.5,0.42,7.41,1,0.998224181,0.264060718,15.02869
SCAD,200,800,0.25,0.5,0.98,6.02,1,0.999974811,0.294052603,22.48718
MCP,200,800,0.25,0.5,0.96,6.04,1,0.999949622,0.296311168,21.18597
APML0,200,800,0.25,0.5,0.81,6.46,1,0.999420655,0.188725562,0.62199
COX-ASDAR,200,900,0.25,0.5,0.97,5.9,0.983333333,1,0.235737909,4.57587
LASSO,200,900,0.25,0.5,0,42.34,1,0.95935123,0.279623201,16.29822
ALASSO,200,900,0.25,0.5,0.37,7.55,1,0.998266219,0.261093735,15.69035
SCAD,200,900,0.25,0.5,1,6,1,1,0.28060806,23.84848
MCP,200,900,0.25,0.5,0.95,6.05,1,0.999944072,0.283176441,22.00679
APML0,200,900,0.25,0.5,0.84,6.31,1,0.999653244,0.185248443,0.64619
COX-ASDAR,200,1000,0.25,0.5,0.97,5.85,0.975,1,0.239505519,5.88198
LASSO,200,1000,0.25,0.5,0,44.56,1,0.961207243,0.280904659,16.85488
ALASSO,200,1000,0.25,0.5,0.36,7.51,1,0.998480885,0.255844362,16.77323
SCAD,200,1000,0.25,0.5,1,6,1,1,0.280099312,26.68731
MCP,200,1000,0.25,0.5,0.97,6.03,1,0.999969819,0.283150482,23.22084
APML0,200,1000,0.25,0.5,0.81,6.36,1,0.999637827,0.186836678,0.66102
